Date,Closing Value
2/22/2010,2242.030029
2/19/2010,2243.870117
2/18/2010,2241.709961
2/17/2010,2226.290039
2/16/2010,2214.189941
2/12/2010,2183.530029
2/11/2010,2177.409912
2/10/2010,2147.870117
2/9/2010,2150.870117
2/8/2010,2126.050049
2/5/2010,2141.120117
2/4/2010,2125.429932
2/3/2010,2190.909912
2/2/2010,2190.060059
2/1/2010,2171.199951
1/29/2010,2147.350098
1/28/2010,2179
1/27/2010,2221.409912
1/26/2010,2203.72998
1/25/2010,2210.800049
1/22/2010,2205.290039
1/21/2010,2265.699951
1/20/2010,2291.25
1/19/2010,2320.399902
1/15/2010,2287.98999
1/14/2010,2316.73999
1/13/2010,2307.899902
1/12/2010,2282.310059
1/11/2010,2312.409912
1/8/2010,2317.169922
1/7/2010,2300.050049
1/6/2010,2301.090088
1/5/2010,2308.709961
1/4/2010,2308.419922
12/31/2009,2269.149902
12/30/2009,2291.280029
12/29/2009,2288.399902
12/28/2009,2291.080078
12/24/2009,2285.689941
12/23/2009,2269.639893
12/22/2009,2252.669922
12/21/2009,2237.659912
12/18/2009,2211.689941
12/17/2009,2180.050049
12/16/2009,2206.909912
12/15/2009,2201.050049
12/14/2009,2212.100098
12/11/2009,2190.310059
12/10/2009,2190.860107
12/9/2009,2183.72998
12/8/2009,2172.98999
12/7/2009,2189.610107
12/4/2009,2194.350098
12/3/2009,2173.139893
12/2/2009,2185.030029
12/1/2009,2175.810059
11/30/2009,2144.600098
11/27/2009,2138.439941
11/25/2009,2176.050049
11/24/2009,2169.179932
11/23/2009,2176.01001
11/20/2009,2146.040039
11/19/2009,2156.820068
11/18/2009,2193.139893
11/17/2009,2203.780029
11/16/2009,2197.850098
11/13/2009,2167.879883
11/12/2009,2149.02002
11/11/2009,2166.899902
11/10/2009,2151.080078
11/9/2009,2154.060059
11/6/2009,2112.439941
11/5/2009,2105.320068
11/4/2009,2055.52002
11/3/2009,2057.320068
11/2/2009,2049.199951
10/30/2009,2045.109985
10/29/2009,2097.550049
10/28/2009,2059.610107
10/27/2009,2116.090088
10/26/2009,2141.850098
10/23/2009,2154.469971
10/22/2009,2165.290039
10/21/2009,2150.72998
10/20/2009,2163.469971
10/19/2009,2176.320068
10/16/2009,2156.800049
10/15/2009,2173.290039
10/14/2009,2172.22998
10/13/2009,2139.889893
10/12/2009,2139.139893
10/9/2009,2139.280029
10/8/2009,2123.929932
10/7/2009,2110.330078
10/6/2009,2103.570068
10/5/2009,2068.149902
10/2/2009,2048.110107
10/1/2009,2057.47998
9/30/2009,2122.419922
9/29/2009,2124.040039
9/28/2009,2130.73999
9/25/2009,2090.919922
9/24/2009,2107.610107
9/23/2009,2131.419922
9/22/2009,2146.300049
9/21/2009,2138.040039
9/18/2009,2132.860107
9/17/2009,2126.75
9/16/2009,2133.149902
9/15/2009,2102.639893
9/14/2009,2091.780029
9/11/2009,2080.899902
9/10/2009,2084.02002
9/9/2009,2060.389893
9/8/2009,2037.77002
9/4/2009,2018.780029
9/3/2009,1983.199951
9/2/2009,1967.069946
9/1/2009,1968.890015
8/31/2009,2009.060059
8/28/2009,2028.77002
8/27/2009,2027.72998
8/26/2009,2024.430054
8/25/2009,2024.22998
8/24/2009,2017.97998
8/21/2009,2020.900024
8/20/2009,1989.219971
8/19/2009,1969.23999
8/18/2009,1955.920044
8/17/2009,1930.839966
8/14/2009,1985.52002
8/13/2009,2009.349976
8/12/2009,1998.719971
8/11/2009,1969.72998
8/10/2009,1992.23999
8/7/2009,2000.25
8/6/2009,1973.160034
8/5/2009,1993.050049
8/4/2009,2011.310059
8/3/2009,2008.609985
7/31/2009,1978.5
7/30/2009,1984.300049
7/29/2009,1967.76001
7/28/2009,1975.51001
7/27/2009,1967.890015
7/24/2009,1965.959961
7/23/2009,1973.599976
7/22/2009,1926.380005
7/21/2009,1916.199951
7/20/2009,1909.290039
7/17/2009,1886.609985
7/16/2009,1885.030029
7/15/2009,1862.900024
7/14/2009,1799.72998
7/13/2009,1793.209961
7/10/2009,1756.030029
7/9/2009,1752.550049
7/8/2009,1747.170044
7/7/2009,1746.170044
7/6/2009,1787.400024
7/2/2009,1796.52002
7/1/2009,1845.719971
6/30/2009,1835.040039
6/29/2009,1844.060059
6/26/2009,1838.219971
6/25/2009,1829.540039
6/24/2009,1792.339966
6/23/2009,1764.920044
6/22/2009,1766.189941
6/19/2009,1827.469971
6/18/2009,1807.719971
6/17/2009,1808.060059
6/16/2009,1796.180054
6/15/2009,1816.380005
6/12/2009,1858.800049
6/11/2009,1862.369995
