Date,Boeing,MacDonalds,Nike,Walmart
5/2/2017,171.538116,129.632965,52.942844,69.725021
5/3/2017,171.491379,130.908844,52.423698,69.946602
5/4/2017,171.192139,131.670685,52.36602,70.482101
5/5/2017,173.006271,132.138809,51.866108,70.629814
5/8/2017,173.950699,132.395813,52.202583,70.278992
5/9/2017,174.78302,132.505966,52.769802,70.832947
5/10/2017,172.606293,132.652817,52.452549,71.288376
5/11/2017,173.322449,132.368256,52.144909,70.758591
5/12/2017,172.672287,133.423813,52.106457,70.368202
5/15/2017,171.861969,134.268311,51.693058,70.907272
5/16/2017,172.154053,135.195328,50.741299,69.810555
5/17/2017,168.460297,134.387604,49.799145,69.819862
5/18/2017,167.159927,134.938354,49.683796,72.069115
5/19/2017,170.325989,135.984726,49.770317,73.212318
5/22/2017,173.068039,136.021469,49.578037,73.007851
5/23/2017,172.898453,135.681854,50.183704,72.952072
5/24/2017,174.556854,137.223892,50.001045,72.636063
5/25/2017,176.271805,137.480911,50.327904,72.784775
5/26/2017,175.819489,137.554306,50.558647,72.617477
5/30/2017,176.092758,137.618561,50.875889,72.636063
5/31/2017,176.799454,138.499741,50.943195,73.054314
6/1/2017,176.507339,140.753433,50.451218,74.17894
6/2/2017,179.249374,142.00032,51.107178,74.002342
6/5/2017,178.043259,141.122879,51.136116,74.597198
6/6/2017,175.970261,139.682007,50.624859,73.361031
6/7/2017,177.24231,140.337769,51.348335,73.565506
6/8/2017,178.96669,139.866714,51.319408,73.361031
6/9/2017,179.060913,139.912888,51.570217,73.81646
6/12/2017,179.032654,137.132767,52.12006,73.649162
6/13/2017,180.059723,138.379684,52.390167,73.909401
6/14/2017,181.275269,139.174011,52.727795,74.262581
6/15/2017,184.16806,139.626602,51.030014,73.342445
6/16/2017,185.100906,140.383972,49.293636,69.931358
6/19/2017,187.588562,141.446152,50.181118,70.173042
6/20/2017,186.881836,142.305115,49.737373,70.21022
6/21/2017,187.673325,141.991089,50.730968,70.860847
6/22/2017,187.927734,142.979416,50.547684,70.19162
6/23/2017,190.556702,142.831619,50.981777,69.559593
6/26/2017,188.436569,142.203568,51.396568,70.173042
6/27/2017,187.409531,141.981903,51.078247,70.647049
6/28/2017,188.097366,142.517578,51.473743,71.111778
6/29/2017,186.062042,141.436905,51.290466,70.572708
6/30/2017,186.335297,141.464661,56.914375,70.34034
7/3/2017,187.126785,140.855026,56.576744,70.042931
7/5/2017,190.160965,141.381516,55.52528,70.00573
7/6/2017,189.850021,141.399963,55.139416,70.145149
7/7/2017,190.688614,144.337158,55.930435,70.015038
7/10/2017,192.186874,143.644409,56.653923,68.063202
7/11/2017,194.363525,143.081009,56.12336,68.286285
7/12/2017,194.523682,144.623459,56.161953,68.723122
7/13/2017,194.32579,143.20108,55.891846,69.754791
7/14/2017,196.474197,143.422775,55.94973,70.953766
7/17/2017,196.935913,143.404251,55.747162,70.981644
7/18/2017,196.219803,142.203568,55.612106,70.823639
7/19/2017,198.707397,142.138916,55.727859,70.516914
